country,year,section,total_words,negative_count,positive_count,negative_ratio,positive_ratio,net_sentiment,accession_year,chapter_number,closure_year,years_to_closure,years_to_accession
Estonia,1998,Chapter 1: Free movement of Goods,350,7,6,20.0,17.142857142857142,-2.8571428571428577,2004,1,2000.0,2.0,6
Estonia,1998,Chapter 2: Free movement of Persons,146,0,0,0.0,0.0,0.0,2004,2,2002.0,4.0,6
Estonia,1998,Chapter 3: Freedom to provide services,192,5,0,26.041666666666668,0.0,-26.041666666666668,2004,3,2001.0,3.0,6
Estonia,1998,Chapter 4: Free movement of capital,92,0,1,0.0,10.869565217391305,10.869565217391305,2004,4,2000.0,2.0,6
Estonia,1998,Chapter 6: Competition policy,114,1,0,8.771929824561402,0.0,-8.771929824561402,2004,6,2001.0,3.0,6
Estonia,1998,Chapter 7: Agriculture,553,12,6,21.699819168173597,10.849909584086799,-10.849909584086799,2004,7,2002.0,4.0,6
Estonia,1998,Chapter 8: Fisheries,48,1,0,20.833333333333332,0.0,-20.833333333333332,2004,8,2000.0,2.0,6
Estonia,1998,Chapter 9: Transport policy,373,9,7,24.128686327077748,18.766756032171582,-5.361930294906166,2004,9,2002.0,4.0,6
Estonia,1998,Chapter 10: Taxation,291,0,4,0.0,13.745704467353951,13.745704467353951,2004,10,2002.0,4.0,6
Estonia,1998,Chapter 11: Economic and Monetary Union,72,2,3,27.777777777777775,41.666666666666664,13.88888888888889,2004,11,1999.0,1.0,6
Estonia,1998,Chapter 12: Statistics,237,0,4,0.0,16.877637130801688,16.877637130801688,2004,12,1999.0,1.0,6
Estonia,1998,Chapter 13: Social Policy and Employment,304,7,6,23.02631578947368,19.736842105263158,-3.289473684210524,2004,13,2000.0,2.0,6
Estonia,1998,Chapter 14: Energy,458,6,8,13.100436681222707,17.46724890829694,4.366812227074234,2004,14,2002.0,4.0,6
Estonia,1998,Chapter 15: Industry,393,8,8,20.356234096692113,20.356234096692113,0.0,2004,15,1999.0,1.0,6
Estonia,1998,Chapter 16: Small and Medium Enterprises,77,0,2,0.0,25.974025974025977,25.974025974025977,2004,16,1998.0,0.0,6
Estonia,1998,Chapter 17: Science and research,110,0,2,0.0,18.18181818181818,18.18181818181818,2004,17,1998.0,0.0,6
Estonia,1998,Chapter 18: Education and Training,87,0,3,0.0,34.48275862068965,34.48275862068965,2004,18,1998.0,0.0,6
Estonia,1998,Chapter 19: Telecommunications and information technologies,134,2,2,14.925373134328359,14.925373134328359,0.0,2004,19,1999.0,1.0,6
Estonia,1998,Chapter 20: Culture and audio-visual policy,86,0,3,0.0,34.883720930232556,34.883720930232556,2004,20,2000.0,2.0,6
Estonia,1998,Chapter 21: Regional Policy and co-ordination of structural instruments,270,2,6,7.407407407407407,22.22222222222222,14.814814814814813,2004,21,2002.0,4.0,6
Estonia,1998,Chapter 22: Environment,265,3,4,11.320754716981131,15.09433962264151,3.7735849056603783,2004,22,2001.0,3.0,6
Estonia,1998,Chapter 23: Consumers and health protection,93,4,1,43.01075268817205,10.752688172043012,-32.25806451612904,2004,23,1999.0,1.0,6
Estonia,1998,Chapter 24: Co-operation in the field of justice and home affairs,982,31,10,31.568228105906314,10.183299389002038,-21.384928716904277,2004,24,2002.0,4.0,6
Estonia,1998,Chapter 25: Customs union,347,4,5,11.527377521613833,14.40922190201729,2.8818443804034573,2004,25,2002.0,4.0,6
Estonia,1998,Chapter 26: External relations,205,1,1,4.878048780487805,4.878048780487805,0.0,2004,26,2000.0,2.0,6
Estonia,1998,Chapter 27: Common Foreign and Security Policy,236,0,5,0.0,21.1864406779661,21.1864406779661,2004,27,2000.0,2.0,6
