Country,Chapter,Provisional Closure
Latvia,Chapter 1: Free Movement of Goods,2001
Latvia,Chapter 2: Free Movement of Persons,2001
Latvia,Chapter 3: Freedom to Provide Services,2001
Latvia,Chapter 4: Free Movement of Capital,2001
Latvia,Chapter 5: Company Law,2001
Latvia,Chapter 6: Competition Policy,2001
Latvia,Chapter 7: Agriculture,2002
Latvia,Chapter 8: Fisheries,2001
Latvia,Chapter 9: Transport Policy,2001
Latvia,Chapter 10: Taxation,2002
Latvia,Chapter 11: Economic and Monetary Union,2000
Latvia,Chapter 12: Statistics,2000
Latvia,Chapter 13: Employment and social policy,2001
Latvia,Chapter 14: Energy,2001
Latvia,Chapter 15: Industrial Policy,2000
Latvia,Chapter 16: Small and Medium-sized Enterprises (SMEs),2000
Latvia,Chapter 17: Science and Research,2000
Latvia,Chapter 18: Education and Training,2000
Latvia,Chapter 19: Telecom and information technologies,2002
Latvia,Chapter 20: Culture and Audio-visual Policy,2001
Latvia,Chapter 21: Regional policy and coordination of structural instruments,2002
Latvia,Chapter 22: Environment,2001
Latvia,Chapter 23: Consumers and Health Protection,2000
Latvia,Chapter 24: Justice and Home Affairs,2002
Latvia,Chapter 25: Customs Union,2001
Latvia,Chapter 26: External Relations,2000
Latvia,Chapter 27: Common Foreign and Security Policy (CFSP),2000
Latvia,Chapter 28: Financial Control,2001
Latvia,Chapter 29: Finance and Budgetary Provisions,2002
Lithuania,Chapter 1: Free Movement of Goods,2001
Lithuania,Chapter 2: Free Movement of Persons,2001
Lithuania,Chapter 3: Freedom to Provide Services,2001
Lithuania,Chapter 4: Free Movement of Capital,2001
Lithuania,Chapter 5: Company Law,2001
Lithuania,Chapter 6: Competition Policy,2001
Lithuania,Chapter 7: Agriculture,2002
Lithuania,Chapter 8: Fisheries,2001
Lithuania,Chapter 9: Transport Policy,2001
Lithuania,Chapter 10: Taxation,2002
Lithuania,Chapter 11: Economic and Monetary Union,2001
Lithuania,Chapter 12: Statistics,2000
Lithuania,Chapter 13: Employment and social policy,2001
Lithuania,Chapter 14: Energy,2002
Lithuania,Chapter 15: Industrial Policy,2000
Lithuania,Chapter 16: Small and Medium-sized Enterprises (SMEs),2000
Lithuania,Chapter 17: Science and Research,2000
Lithuania,Chapter 18: Education and Training,2000
Lithuania,Chapter 19: Telecom and information technologies,2001
Lithuania,Chapter 20: Culture and Audio-visual Policy,2000
Lithuania,Chapter 21: Regional policy and coordination of structural instruments,2002
Lithuania,Chapter 22: Environment,2001
Lithuania,Chapter 23: Consumers and Health Protection,2001
Lithuania,Chapter 24: Justice and Home Affairs,2002
Lithuania,Chapter 25: Customs Union,2001
Lithuania,Chapter 26: External Relations,2000
Lithuania,Chapter 27: Common Foreign and Security Policy (CFSP),2000
Lithuania,Chapter 28: Financial Control,2001
